,FAD,LAD
Mescalerolemur_horneri,46.2,40.4
Mesopithecus_pentelicus,7.246,5.333
Mesopropithecus_dolichobrachion,0.0014,0.0014
Mesopropithecus_pithecoides,0.0014,0.0014
Mico_argentatus,0,0
Mico_emiliae,0,0
Mico_humeralifera,0,0
Mico_humilis,0,0
Mico_mauesi,0,0
Mico_saterei,0,0
Microadapis_sciureus,41.3,38
Microcebus_arnholdi,0,0
Microcebus_berthae,0,0
Microcebus_bongolavensis,0,0
Microcebus_danfossi,0,0
Microcebus_gerpi,0,0
Microcebus_griseorufus,0,0
Microcebus_jollyae,0,0
Microcebus_lehilahytsara,0,0
Microcebus_macarthurii,0,0
Microcebus_mamiratra,0,0
Microcebus_margotmarshae,0,0
Microcebus_marohita,0,0
Microcebus_mittermeieri,0,0
Microcebus_murinus,0,0
Microcebus_myoxinus,0,0
Microcebus_ravelobensis,0,0
Microcebus_rufus,0,0
Microcebus_sambiranensis,0,0
Microcebus_simmonsi,0,0
Microcebus_tanosi,0,0
Microcebus_tavaratra,0,0
Microchoerus_erinaceus,41.3,38
Microcolobus_sp_KNM_NA_305,10.5,8.5
Microcolobus_tugenensis,13.82,11.62
Micromomys_silvercouleei,61.7,56.8
Micropithecus_clarki,20.44,15.97
Micropithecus_leakeyorum,13.82,11.62
Microsyops_annectens,50.3,46.2
Microsyops_knightensis,55.8,50.3
Microsyops_latidens,55.8,50.3
Miopithecus_ogouensis,0,0
Miopithecus_talapoin,0,0
Mirza_coquereli,0,0
Mirza_zaza,0,0
Mohanamico_hershkovitzi,13.8,11.8
Morotopithecus_bishopi,22.4,20
Muangthanhinius_siami,37.2,33.9
Myanmarpithecus_yarshensis,41.3,38
Nannodectes_gazini,61.7,56.8
Nannodectes_gidleyi,61.7,56.8
Nannodectes_intermedius,61.7,56.8
Nannodectes_simpsoni,61.7,56.8
Nannopithex_filholi,47.8,40.4
Nannopithex_humilidens,48.6,37.2
Nannopithex_sp_Halle_4254,48.6,40.4
Nannopithex_zuccolae,55.8,48.6
Nanopithecus_browni,4.195,3.4
Nasalis_larvatus,0,0
Navajovius_kohlhaasae,61.7,56.8
Necrolemur_antiquus,41.3,38
Necrolemur_zitteli,41.3,38
Neosaimiri_fieldsi,13.8,11.8
Nievesia_sossisensis,38,33.9
Niptomomys_doreenae,56.8,55.8
Nomascus_concolor,0,0
Nomascus_gabriellae,0,0
Nomascus_hainanus,0,0
Nomascus_leucogenys,0,0
Nomascus_nasutus,0,0
Nomascus_siki,0,0
Noropithecus_bulukensis,23.03,15.97
Nosmips_aenigmaticus,38,33.9
Notharctus_robinsoni,55.8,50.3
Notharctus_robustior,50.3,46.2
Notharctus_tenebrosus,50.3,46.2
Notharctus_venticolus,55.8,50.3
Nsungwepithecus_gunnelli,28.4,23.03
Nuciruptor_rubricae,13.8,11.8
Nyanzapithecus_alesi,13.82,11.62
Nyanzapithecus_harrisoni,15.97,11.608
Nyanzapithecus_pickfordi,15.97,13.82
Nyanzapithecus_vancouveringorum,18.5,17
Nycticeboides_simpsoni,9.1,7.8
Nycticebus_bengalensis,0,0
Nycticebus_coucang,0,0
Nycticebus_javanicus,0,0
Nycticebus_menagensis,0,0
Nycticebus_pygmaeus,0,0
Oligopithecus_rogeri,33.9,28.4
Oligopithecus_savagei,33.9,28.1
Oligotarsius_rarus,33.9,28.4
Omomys_carteri,50.3,46.2
Omomys_lloydi,50.3,46.2
Oreopithecus_bambolii,8.7,5.333
Otavipithecus_namibiensis,15.97,11.608
Otolemur_crassicaudatus,0,0
Otolemur_garnettii,0,0
Otolemur_monteiri,0,0
Ourayia_uintensis,46.2,40.4
Pachylemur_insignis,0.0117,0.0117
Pachylemur_jullyi,0.0117,0.0117
Palaechthon_alticuspis,63.3,61.7
Palaechthon_torrejonius,63.3,61.7
Palaechthon_woodi,63.3,61.7
Palaeopropithecus_ingens,0.001,0.001
Palaeopropithecus_maximus,0.00216,0.00216
Palenochtha_minor,63.3,61.7
Palenochtha_weissae,63.3,61.7
Pan_paniscus,0,0
Pan_troglodytes,0,0
Panamacebus_transitus,30.8,20.43
Pandemonium_dis,66,63.3
Panobius_russelli,56,47.8
Papio_anubis,0,0
Papio_cynocephalus,0,0
Papio_hamadryas,0,0
Papio_izodi,5.333,0.781
Papio_kindae,0,0
Papio_papio,0,0
Papio_quadratirostris,3,3
Papio_robinsoni,1.806,0.781
Papio_ursinus,0,0
Paragalago_cocos,0,0
Paragalago_granti,0,0
Paragalago_orinus,0,0
Paragalago_rondoensis,0,0
Paragalago_zanzibaricus,0,0
Paralouatta_marianae,23.03,15.97
Paralouatta_varonai,2.588,0.005
Paranthropus_aethiopicus,2.7,2.33
Paranthropus_boisei,3.6,0.781
Paranthropus_robustus,2.588,0.781
Parapapio_ado,3.6,1.806
Parapapio_angusticeps,5.333,0.0117
Parapapio_broomi,3.6,2.588
Parapapio_jonesi,5.333,3.6
Parapapio_lothagamensis,11.62,7.246
Parapapio_whitei,3.6,1.806
Parapithecus_fraasi,33.9,28.1
Paromomys_depressidens,63.3,61.7
Paromomys_farrandi,63.3,61.7
Paromomys_maturus,63.3,61.7
Parvimico_materdei,17.5,16.3
Patasola_magdalenae,13.8,11.8
Paukkaungia_parva,41.3,38
Pelycodus_jarrovii,55.8,50.3
Periconodon_huerzeleri,47.8,41.3
Perodicticus_edwardsi,0,0
Perodicticus_ibeanus,0,0
Perodicticus_potto,0,0
Perupithecus_ucayaliensis,37.2,33.9
Phaner_electromontis,0,0
Phaner_furcifer,0,0
Phaner_pallescens,0,0
Phaner_parienti,0,0
Phenacolemur_archus,61.7,56.8
Phenacolemur_praecox,56.8,55.8
Phenacolemur_simonsi,56.8,55.8
Phenacopithecus_krishtalkai,48.6,37.2
Phenacopithecus_xueshii,48.6,37.2
Phileosimias_brahuiorum,33.9,28.4
Phileosimias_kamali,33.9,28.4
Picromomys_petersonorum,55.8,50.3
Pierolapithecus_catalaunicus,12.75,11.1
Piliocolobus_badius,0,0
Piliocolobus_foai,0,0
Piliocolobus_gordonorum,0,0
Piliocolobus_kirkii,0,0
Piliocolobus_pennantii,0,0
Piliocolobus_preussi,0,0
Piliocolobus_rufomitratus,0,0
Piliocolobus_tephrosceles,0,0
Piliocolobus_tholloni,0,0
Pithecia_irrorata,0,0
Pithecia_monachus,0,0
Pithecia_pithecia,0,0
Platychoerops_antiquus,59.2,56
Platychoerops_boyeri,58.7,55.8
Platychoerops_daubrei,56,47.8
Platychoerops_richardsoni,56,47.8
Platychoerops_russelli,56,47.8
Plecturocebus_bernhardi,0,0
Plecturocebus_brunneus,0,0
Plecturocebus_caligatus,0,0
Plecturocebus_cinerascens,0,0
Plecturocebus_cupreus,0,0
Plecturocebus_discolor,0,0
Plecturocebus_donacophilus,0,0
Plecturocebus_hoffmannsi,0,0
Plecturocebus_miltoni,0,0
Plecturocebus_moloch,0,0
Plecturocebus_ornatus,0,0
Plesiadapis_anceps,61.7,56.8
Plesiadapis_churchilli,61.7,56.8
Plesiadapis_cookei,56.8,55.8
Plesiadapis_dubius,61.7,56.8
Plesiadapis_fodinatus,61.7,56.8
Plesiadapis_gingerichi,61.7,56.8
Plesiadapis_insignis,59.2,56
Plesiadapis_ploegi,58.7,55.8
Plesiadapis_praecursor,61.7,56.8
Plesiadapis_remensis,59.2,56
Plesiadapis_rex,61.7,56.8
Plesiadapis_russelli,56,47.8
Plesiadapis_simonsi,61.7,56.8
Plesiadapis_tricuspidens,59.2,56
Plesiadapis_walbeckensis,61.6,59.2
Plesiolestes_nacimienti,66,63.3
Plesiolestes_problematicus,63.3,61.7
Plesiopithecus_teras,33.9,28.1
Plesiopliopithecus_lockeri,15.97,11.608
Pliobates_cataloniae,11.628,11.628
Pliopapio_alemui,5.2,4.2
Pliopithecus_antiquus,15.97,13.82
Pliopithecus_vindobonensis,13.65,12.75
Pondaungia_cotteri,41.3,38
Pongo_abelii,0,0
Pongo_pygmaeus,0,0
Pongo_tapanuliensis,0,0
Praeanthropus_africanus,7.246,5.333
Premnoides_douglassi,63.3,61.7
Presbytis_bicolor,0,0
Presbytis_chrysomelas,0,0
Presbytis_comata,0,0
Presbytis_femoralis,0,0
Presbytis_frontata,0,0
Presbytis_hosei,0,0
Presbytis_melalophos,0,0
Presbytis_mitrata,0,0
Presbytis_potenziani,0,0
Presbytis_rubicunda,0,0
Presbytis_siberu,0,0
Presbytis_thomasi,0,0
Procercocebus_antiquus,5.332,0.0117
Procolobus_verus,0,0
Proconsul_africanus,20.44,15.97
Proconsul_heseloni,20.44,15.97
Proconsul_major,20.44,15.97
Proconsul_nyanzae,13.82,11.62
Prohylobates_tandyi,16.9,15.97
Prolemur_simus,0,0
Pronothodectes_gaoi,61.7,56.8
Pronothodectes_jepi,63.3,61.7
Pronothodectes_matthewi,63.3,61.7
Pronycticebus_gaudryi,55.8,40.4
Pronycticebus_neglectus,48.6,40.4
Propithecia_neuquenensis,15.5,13.8
Propithecus_candidus,0,0
Propithecus_coquereli,0,0
Propithecus_coronatus,0,0
Propithecus_deckenii,0,0
Propithecus_diadema,0,0
Propithecus_edwardsi,0,0
Propithecus_perrieri,0,0
Propithecus_tattersalli,0,0
Propithecus_verreauxi,0,0
Propliopithecus_ankeli,33.9,28.1
Propliopithecus_chirobates,33.9,28.1
Propliopithecus_haeckeli,33.9,28.1
Propotto_leakeyi,20,18
Proteopithecus_sylviae,33.9,28.1
Protoadapis_curvicuspidens,48.6,37.2
Pseudoloris_parvulus,37.2,33.9
Purgatorius_coracis,66,63.3
Purgatorius_janisae,66,63.3
Purgatorius_titusi,66,63.3
Purgatorius_unio,66,63.3
Pygathrix_cinerea,0,0
Pygathrix_nemaeus,0,0
Pygathrix_nigripes,0,0
Qatrania_basiodontos,33.9,28.1
Qatrania_wingi,33.9,28.1
Ramadapis_sahnii,14,11
Rangwapithecus_gordoni,20,19
Rencunius_wui,37.2,33.9
Rencunius_zhoui,48.6,37.2
Rhinopithecus_avunculus,0,0
Rhinopithecus_bieti,0,0
Rhinopithecus_brelichi,0,0
Rhinopithecus_lantianensis,0.126,0.0117
Rhinopithecus_roxellana,0,0
Rhinopithecus_strykeri,0,0
Rhinopithecus_tingianus,0.781,0.126
Rooneyia_viejaensis,40.4,37.2
Rukwapithecus_fleaglei,28.4,23.03
Rungwecebus_kipunji,0,0
Saadanius_hijazensis,29,28
Saguinus_bicolor,0,0
Saguinus_geoffroyi,0,0
Saguinus_graellsi,0,0
Saguinus_imperator,0,0
Saguinus_labiatus,0,0
Saguinus_leucopus,0,0
Saguinus_martinsi,0,0
Saguinus_melanoleucus,0,0
Saguinus_midas,0,0
Saguinus_mystax,0,0
Saguinus_niger,0,0
Saguinus_oedipus,0,0
Saharagalago_misrensis,38,33.9
Sahelanthropus_tchadensis,7.246,5.333
Saimiri_boliviensis,0,0
Saimiri_collinsi,0,0
Saimiri_oerstedii,0,0
Saimiri_sciureus,0,0
Saimiri_ustus,0,0
Sapajus_apella,0,0
Sapajus_libidinosus,0,0
Sapajus_robustus,0,0
Sapajus_xanthosternos,0,0
Sarnacius_gingerichi,59.2,56
Saxonella_crepaturae,61.6,59.2
Saxonella_naylori,61.7,56.8
Sciurocheirus_alleni,0,0
Sciurocheirus_gabonensis,0,0
Semnopithecus_entellus,0,0
Semnopithecus_hector,0,0
Semnopithecus_johnii,0,0
Semnopithecus_priam,0,0
Semnopithecus_vetulus,0,0
Serapia_eocaena,33.9,28.1
Shoshonius_cooperi,55.8,50.3
Siamoadapis_maemohensis,15.97,11.608
Siamopithecus_eocaenus,37.2,33.9
Simias_concolor,0,0
Simiolus_enjiessi,20.44,15.97
Simiolus_minutus,12.56,12.3
Simonsius_grangeri,33.9,28.1
Simpsonlemur_citatus,55.8,50.3
Simpsonlemur_jepseni,55.8,50.3
Sinoadapis_carnosus,11.62,7.246
Sinoadapis_shihuibaensis,11.608,5.333
Sivaladapis_nagrii,9.23,8.6
Sivaladapis_palaeindicus,13.65,11.1
Sivapithecus_indicus,11.608,11.1
Sivapithecus_meteai,11.1,9.7
Sivapithecus_parvada,10,10
Smilodectes_gracilis,50.3,46.2
Smilodectes_mcgrewi,50.3,46.2
Smilodectes_sororis,50.3,46.2
Soriacebus_adrianae,23.03,15.97
Soriacebus_ameghinorum,23.03,15.97
Sphacorhysis_burntforkensis,50.3,46.2
Steinius_vespertinus,55.8,50.3
Stirtonia_tatacoensis,13.8,11.8
Stirtonia_victoriae,13.8,11.8
Stockia_powayensis,46.2,40.4
Strigorhysis_bridgerensis,55.8,50.3
Subengius_mengi,58.7,55.8
Symphalangus_syndactylus,0,0
Talahpithecus_parvus,48.6,33.9
Tarka_stylifera,46.2,40.4
Tarkadectes_montanensis,46.2,40.4
Tarkops_mckennai,48.6,37.2
Tarsius_dentatus,0,0
Tarsius_fuscus,0,0
Tarsius_lariang,0,0
Tarsius_sangirensis,0,0
Tarsius_sirindhornae,13.65,12.75
Tarsius_tarsier,0,0
Tarsius_wallacei,0,0
Teilhardina_americana,55.8,50.3
Teilhardina_asiatica,55.8,48.6
Teilhardina_belgica,56,47.8
Teilhardina_brandti,55.8,50.3
Teilhardina_crassidens,55.8,50.3
Teilhardina_demissa,55.8,50.3
Teilhardina_magnoliana,55.8,50.3
Teilhardina_tenuicula,55.8,50.3
Tetonius_homunculus,55.8,48.6
Tetonius_matthewi,55.8,50.3
Tetonius_mckennai,55.8,50.3
Tetonoides_pearcei,55.8,50.3
Theropithecus_gelada,0,0
Theropithecus_oswaldi,2.588,0.126
Theropithecus_sp_M2974_et_MP44_et_MP217_et_MP222_et_NME_AL_58_dash_23_et_134_dash_5_et_142_dash_19_et_144_dash_1_et_153_dash_14_et_163_dash_11_et_186_dash_17_et_187_dash_10_et_196_dash_3_et_205_dash_1_et_208_dash_10_et_321_dash_12_et_416_dash_2,3.5,2.4
TheropithecusOmopithecus_baringensis,3,2
TheropithecusOmopithecus_brumpti,5.333,3.6
Tinimomys_graybulliensis,56.8,55.8
Torrejonia_wilsoni,63.3,61.7
Trachypithecus_auratus,0,0
Trachypithecus_barbei,0,0
Trachypithecus_crepusculus,0,0
Trachypithecus_cristatus,0,0
Trachypithecus_delacouri,0,0
Trachypithecus_francoisi,0,0
Trachypithecus_geei,0,0
Trachypithecus_germaini,0,0
Trachypithecus_hatinhensis,0,0
Trachypithecus_laotum,0,0
Trachypithecus_mauritius,0,0
Trachypithecus_obscurus,0,0
Trachypithecus_phayrei,0,0
Trachypithecus_pileatus,0,0
Trachypithecus_poliocephalus,0,0
Tremacebus_harringtoni,21,17.5
Trogolemur_amplior,55.8,50.3
Trogolemur_fragilis,50.3,46.2
Trogolemur_myodes,55.8,50.3
Turkanapithecus_kalakolensis,20.44,15.97
Ucayalipithecus_perdita,37.2,33.9
Uintanius_ameghini,50.3,46.2
Uintanius_rutherfurdi,50.3,46.2
Utahia_carina,50.3,46.2
Utahia_kayi,50.3,46.2
Varecia_rubra,0,0
Varecia_variegata,0,0
Vectipithex_quaylei,41.3,38
Vectipithex_raabi,47.8,41.3
Vectipithex_smithorum,38,33.9
Vectipithex_ulmensis,38,33.9
Victoriapithecus_macinnesi,22.4,20
Wadilemur_elegans,33.9,28.1
Wailekia_orientale,37.2,33.9
Walshina_esmaraldensis,46.2,40.4
Walshina_mcgrewi,50.3,46.2
Walshina_shifrae,46.2,40.4
Washakius_insignis,55.8,50.3
Washakius_woodringi,46.2,40.4
Xanthorhysis_tabrumi,48.6,37.2
Xenothrix_mcgregori,0.001511,0.001443
Yaquius_travisi,46.2,40.4
Yunnanadapis_folivorus,33.9,28.4
